iter	Passed	Remaining
0	164	163876
1	166	83270
2	169	56433
3	173	43283
4	176	35108
5	177	29388
6	178	25295
7	179	22246
8	181	19941
9	184	18248
10	186	16752
11	187	15470
12	190	14435
13	192	13565
14	193	12726
15	194	11980
16	196	11360
17	198	10829
18	199	10323
19	201	9866
20	202	9449
21	203	9064
22	204	8698
23	205	8370
24	206	8063
25	207	7778
26	208	7522
27	210	7320
28	211	7096
29	213	6889
30	213	6684
31	214	6495
32	215	6315
33	216	6159
34	217	6008
35	218	5863
36	219	5722
37	220	5588
38	221	5459
39	223	5354
40	224	5248
41	225	5144
42	226	5042
43	227	4942
44	229	4859
45	229	4767
46	230	4681
47	231	4597
48	232	4515
49	233	4438
50	234	4359
51	235	4295
52	237	4244
53	238	4179
54	239	4114
55	240	4050
56	241	3989
57	242	3933
58	243	3878
59	244	3824
60	245	3773
61	246	3723
62	247	3674
63	248	3628
64	249	3588
65	250	3550
66	252	3510
67	253	3471
68	254	3432
69	255	3395
70	256	3357
71	257	3321
72	258	3285
73	259	3251
74	260	3215
75	261	3182
76	262	3152
77	264	3128
78	265	3098
79	267	3071
80	268	3042
81	269	3015
82	269	2982
83	271	2957
84	272	2931
85	273	2907
86	274	2881
87	275	2856
88	276	2834
89	279	2821
90	280	2798
91	281	2774
92	282	2750
93	282	2727
94	284	2705
95	285	2683
96	285	2661
97	286	2639
98	287	2618
99	288	2597
100	289	2577
101	290	2559
102	292	2546
103	293	2531
104	294	2513
105	295	2494
106	296	2476
107	297	2458
108	298	2440
109	299	2422
110	300	2405
111	301	2387
112	301	2370
113	302	2352
114	303	2335
115	304	2318
116	305	2303
117	306	2290
118	307	2278
119	308	2262
120	309	2247
121	309	2230
122	310	2216
123	311	2201
124	312	2186
125	313	2172
126	313	2157
127	314	2142
128	315	2130
129	316	2116
130	317	2104
131	318	2091
132	318	2078
133	320	2070
134	321	2058
135	322	2046
136	322	2034
137	323	2021
138	324	2009
139	325	1997
140	325	1985
141	326	1971
142	327	1960
143	327	1949
144	328	1937
145	329	1927
146	330	1916
147	330	1905
148	331	1895
149	332	1885
150	334	1878
151	335	1870
152	336	1860
153	336	1850
154	337	1840
155	338	1830
156	339	1820
157	339	1810
158	340	1801
159	341	1792
160	341	1781
161	342	1772
162	343	1764
163	344	1755
164	345	1746
165	345	1737
166	346	1728
167	348	1724
168	349	1720
169	350	1713
170	352	1706
171	353	1700
172	353	1692
173	354	1683
174	355	1675
175	356	1667
176	357	1660
177	357	1652
178	358	1643
179	359	1636
180	359	1628
181	360	1621
182	362	1616
183	363	1613
184	365	1608
185	366	1604
186	367	1598
187	368	1593
188	370	1589
189	371	1583
190	372	1576
191	373	1569
192	373	1563
193	374	1557
194	375	1550
195	376	1546
196	378	1542
197	380	1539
198	381	1534
199	382	1529
200	383	1523
201	384	1517
202	384	1510
203	385	1504
204	386	1498
205	387	1493
206	388	1487
207	389	1481
208	390	1477
209	391	1474
210	393	1470
211	394	1465
212	395	1459
213	396	1454
214	397	1449
215	397	1444
216	398	1438
217	399	1432
218	400	1426
219	401	1421
220	401	1416
221	403	1412
222	404	1408
223	405	1405
224	407	1402
225	407	1397
226	408	1391
227	409	1386
228	410	1381
229	410	1375
230	411	1370
231	412	1365
232	413	1360
233	414	1356
234	415	1351
235	416	1346
236	416	1341
237	417	1336
238	418	1331
239	419	1329
240	421	1325
241	421	1321
242	422	1316
243	423	1311
244	424	1306
245	424	1302
246	425	1297
247	426	1292
248	427	1287
249	427	1283
250	428	1278
251	429	1274
252	430	1269
253	430	1265
254	431	1260
255	432	1256
256	435	1259
257	436	1255
258	437	1251
259	438	1247
260	439	1243
261	439	1238
262	440	1234
263	441	1230
264	442	1226
265	443	1222
266	443	1218
267	444	1214
268	445	1210
269	446	1205
270	446	1201
271	447	1197
272	448	1195
273	450	1193
274	451	1190
275	452	1187
276	453	1183
277	454	1180
278	456	1178
279	456	1174
280	457	1171
281	458	1167
282	459	1163
283	460	1159
284	460	1156
285	461	1152
